provider,status,request_url,http_status,checked_at,capture_status,published_count,captured_count,retained_count,reason,visible_excerpt
10web,evidenced,https://10web.io/pricing-platform/,200,2026-09-23T06:32:26Z,matched,5,5,0,Official source checked; matched configured extraction rules.,10Web AI Builder Pricing Launch AI Websites under your brand with 10Web White Label Solutions Welcome Back! Generate your website with AI – % OFF & Free Domain! AI Builder AI Website Builder Ecommerce AI Builder WordPress AI Builder AI Builder for Agencies Managed WordPress hosti
123-reg,evidenced,https://www.123-reg.co.uk/web-hosting/,200,2026-09-23T06:31:15Z,matched,4,4,0,Official source checked; matched configured extraction rules.,"Web Hosting with FREE Domain, Email, SSL and Expert Support | 123 Reg Domains Domain Names Domain Names Register your perfect domain and take the first step towards getting your business online. Generic Top-Level Domains Get a distinctive extension that matches what you do. Cheap"
20i,evidenced,https://www.20i.com/web-hosting,200,2026-09-23T06:33:11Z,unmatched,6,0,6,"Official source responded, but no configured extraction rule matched; existing records were retained.",UK Web Hosting: Lightning-fast & unlimited cloud hosting | 20i 🎉 Celebrating 10 Years: A Decade of Innovation Read more Reseller Hosting Reseller Hosting Reseller Hosting Profit with the best Reseller Hosting Platform Platform Hosting Platform Blazing-fast autoscaling cloud hosti
a2-hosting,unreadable,https://www.a2hosting.com/robots.txt,200,2026-09-23T06:32:41Z,not_attempted,3,0,3,robots.txt returned HTML instead of crawl directives; source page was not requested.,Web Hosting Built to Grow With You | hosting.com Partners United States (Global) Select your country Australia Bangladesh Canada Spain India Kenya Mexico Nigeria Rwanda United Kingdom United States (Global) 3 million websites hosted Contact us Support you can rely on Live Chat Re
accuweb-hosting,evidenced,https://www.accuwebhosting.com/pricing,200,2026-09-23T06:32:22Z,matched,3,1,2,Official source checked; matched configured extraction rules. Some earlier records remain because their configured rule did not match this run.,"Web Hosting Pricing & Plans - Reliable Hosting from $1.99/mo Enterprise WordPress Cloud Now Starting at $6.99/mo Affiliate Program Testimonials Contact +1 (877) 767 4678 +44 736 158 8774 24x7x365 Support ↑ Top Pricing Services Web & WordPress Hosting VPS, Dedicated & Desktop RESE"
aiven,evidenced,https://aiven.io/pricing/postgresql,200,2026-09-23T06:31:30Z,matched,5,5,0,Official source checked; matched configured extraction rules.,Aiven - Your AI-ready Open Source Data Platform Skip to content Products Apache Kafka® PostgreSQL® OpenSearch® ClickHouse® Valkey™ MySQL Metrics Grafana® Runtime New DataHub New Aiven Platform Solutions Free tier Developer tier Partners Startup Enterprise Program OEM Case studies
amazon-lightsail,evidenced,https://aws.amazon.com/lightsail/pricing/,200,2026-09-23T06:33:08Z,matched,3,3,0,Official source checked; matched configured extraction rules.,Amazon Lightsail Pricing Skip to main content Filter: All English Contact us AWS Marketplace Support My account re:Invent Discover AWS Products Solutions Pricing Resources Search Filter: All Sign in to console Create account Explore topics re:Invent 2026 The session catalog is li
appwrite,evidenced,https://appwrite.io/pricing,200,2026-09-23T06:31:27Z,unmatched,1,0,1,"Official source responded, but no configured extraction rule matched; existing records were retained.","Pricing · Appwrite Products Docs Pricing Enterprise Customers Blog Changelog 57.4K Skip to content Everything your app needs, one subscription _ Build, deploy, secure, and observe your app from one platform, all under one subscription. All platform services included Every plan in"
b12,evidenced,https://www.b12.io/pricing,200,2026-09-23T06:31:53Z,matched,2,2,0,Official source checked; matched configured extraction rules.,"B12 Pricing | Plans for Sites, Stores, and Web Apps Limited time: Try B12 for $1 for 7 days. Sign up now Limited time: Try B12 for $1 for 7 days. Sign up now Limited time: Try B12 for $1 for 7 days. Sign up now Limited time: Try B12 for $1 for 7 days. Sign up now Limited time: Tr"
back4app,evidenced,https://www.back4app.com/pricing,200,2026-09-23T06:32:08Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://www.back4app.com/pricing returned HTTP 200 on 2026-09-12, but the response holds no currency amount and the plan cards are inserted by script after load.","Simple, predictable pricing Simple, predictable pricing We provide transparent and consistent pricing for our services. Select the ideal plan option for your requirements and scale effortlessly. Backend Platform From free plans for prototyping to dedicated plans for production ap"
bandzoogle,evidenced,https://bandzoogle.com/pricing,200,2026-09-23T06:31:56Z,matched,3,3,0,Official source checked; matched configured extraction rules.,Pricing and Plans | Free 14 Day Trial | Bandzoogle Try it Free Sign in Features Build Design tools Domain name Web hosting Fan data Integrations Musician-friendly support Sell Selling tools overview Sell music Sell sheet music Sell merch Sell tickets Subscriptions Crowdfunding Pr
beehiiv,evidenced,https://www.beehiiv.com/pricing,200,2026-09-23T06:31:25Z,matched,2,2,0,Official source checked; matched configured extraction rules.,"Pricing - beehiiv — The newsletter platform built for growth Sign up Product Newsletters Own your subscriber list Podcasts Turn listeners into subscribers Digital Products Sell guides, courses, and more Community Bring your audience together Publish Editor Customization beehiiv A"
bigcommerce,evidenced,https://www.bigcommerce.com/pricing/,200,2026-09-23T06:32:18Z,matched,3,3,0,Official source checked; matched configured extraction rules.,BigCommerce Pricing and Plan Information | BigCommerce Commerce Feedonomics Makeswift Help Center Developer Center Log In 🇺🇸 🇦🇺 Australia 🇩🇰 Danmark 🇩🇪 Deutschland 🇪🇸 España 🇫🇷 France 🇮🇳 India 🇮🇹 Italia 🇲🇽 México 🇳🇱 Nederland 🇳🇴 Norge 🇦🇹 Österreich 🇸🇬 Singapore 🇸🇪 Sverige 🇬🇧 Unit
bubble,evidenced,https://bubble.io/pricing,200,2026-09-23T06:32:08Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://bubble.io/pricing returned HTTP 200 on 2026-09-12, but the response is an application shell: the extracted visible text is 62 characters long and holds no currency amount. Plan prices are fetched by script after load.","Bubble Pricing — Start Free, Scale as You Grow Built on Bubble"
buttondown,evidenced,https://buttondown.com/pricing,200,2026-09-23T06:31:41Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://buttondown.email/pricing returned HTTP 200 on 2026-09-12; the 132 KB response prints only the add-on amounts of 9, 29 and 79 per month and no plan amount, because the plan amount is computed by script from the subscriber-count slider.","Buttondown: Pricing Buttondown Features Resources Search Pricing Log in Build your newsletter Sign up Pricing A full breakdown of our pricing plans, including add-ons and discounts. About how many subscribers do you have? 1 0 0 0 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4"
chemicloud,evidenced,https://chemicloud.com/web-hosting,200,2026-09-23T06:32:46Z,unmatched,1,0,1,"Official source responded, but no configured extraction rule matched; existing records were retained.","Shared Hosting Starting at $1.49 A Month | ChemiCloud Back to Build Sale! Save Up to 84% on Hosting + Free Domain & Migration View Deals Get Back to Building for Less Launch something new or make the switch with up to 84% off, plus a free domain and migration. $1.95/mo + Free Mig"
cloudcone,evidenced,https://cloudcone.com/,200,2026-09-23T06:31:43Z,matched,6,6,0,Official source checked; matched configured extraction rules.,"Managed Cloud Hosting, Dedicated Servers, Cloud Services - CloudCone Home Products Scalable Cloud Compute Virtual Private Servers Dedicated Servers Hosted Email Private Clouds Domain Registrations Windows Servers One Click Applications DDoS Protection Automated Backups Snapshots"
cloudflare-registrar,evidenced,https://www.cloudflare.com/domains/,200,2026-09-23T06:33:05Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (no_public_price), so no offer was published. Evidence: GET https://www.cloudflare.com/products/registrar/ returned HTTP 200; the page describes at-cost registration without publishing a figure, and no amount appears in the served HTML.","Cloudflare Registrar - Search and Buy Domains at Cost Products Solutions Resources Pricing Login Dashboard Contact sales Start building Dashboard Login Cloudflare Registrar Start your next idea with a domain name Enter a name, domain, or website URL. Results update as you type. S"
cloudways,evidenced,https://www.cloudways.com/en/promo-code.php,200,2026-09-23T06:32:44Z,matched,1,1,0,Official source checked; matched configured extraction rules.,"Cloudways Promo Code 2026 - Get the Best Hosting Deals Cloudways Managed AI Agents is here. Deploy OpenClaw or Hermes on secured, managed infrastructure. Claim 50% Off [Free Event] Build. Ship. Scale. at Velocity. See What’s Next at Prepathon | Sep 22–23 Save Your Spot Cloudways"
crocweb,evidenced,https://www.crocweb.com/,200,2026-09-23T06:32:01Z,matched,4,4,0,Official source checked; matched configured extraction rules.,"CrocWeb Cloud Hosting - Secure, Fast & Scalable Web Solutions Skip to content +1 (888)-804-CROC Help Center CrocWeb Status Cloud Hosting Cloud Web Hosting Cloud WordPress Hosting Cloud Reseller Hosting Cloud Web Hosting Host unlimited websites, web applications, emails on the clo"
deno-deploy,evidenced,https://deno.com/deploy/pricing,200,2026-09-23T06:31:59Z,matched,2,2,0,Official source checked; matched configured extraction rules.,"Deno Deploy Pricing Skip to main content Introducing celld: self-hosted, distributed Durable Objects Learn more -> Dismiss ⌘K ↑↓ Up or down to navigate ↵ Enter to select ESC Escape to close Products Open Source Deno Modern runtime for JavaScript and TypeScript Fresh Web framework"
digitalocean,evidenced,https://www.digitalocean.com/pricing/droplets,200,2026-09-23T06:33:05Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.","Droplet Pricing | DigitalOcean Blog Docs Careers Get Support Contact Sales DigitalOcean Products Featured AI Products Compute Build, deploy, and scale cloud compute resources Containers and Images Safely store and manage containers and backups Managed Databases Fully managed reso"
dreamhost,evidenced,https://www.dreamhost.com/hosting/,200,2026-09-23T06:32:42Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.","Web Hosting Plans — 100% Uptime, 24/7 Support | DreamHost Meet Remixer: Build a site with your words, not code. Start for Free Talk to It. Watch It Build. Knowledge Base News Support $ USD English DreamHost Websites AI WordPress Hosting Domains Email Pro Services Pricing Login Ge"
duda,evidenced,https://www.duda.co/pricing,200,2026-09-23T06:32:19Z,matched,4,4,0,Official source checked; matched configured extraction rules.,Plans & Pricing | Duda Platform Solutions Resources Pricing Enterprise Log in Building at scale? Book a demo Start free trial Start free trial Platform Build Website builder Create high-performing sites at scale Vibe Generate client-ready sites & web apps AI Widget Builder Build
